duration,gross,genres,actor_3_name,facenumber_in_poster,country,budget,title_year,movie_facebook_likes,ratio_rentabilite,imdb_score_disc,ratio_rentabilite_disc
173,623279547,action|adventure|sci-fi,'scarlett johansson',3,usa,220000000,2012,123000,2.833089,'\'Block4of4\'','\'Block4of4\''
136,241063875,action|adventure|fantasy,'stephen graham',4,usa,250000000,2011,58000,0.964256,'\'Block3of4\'','\'Block2of4\''
106,179020854,action|adventure|comedy|family|fantasy|sci-fi,'nicole scherzinger',1,usa,225000000,2012,40000,0.795648,'\'Block3of4\'','\'Block2of4\''
164,255108370,adventure|fantasy,'james nesbitt',0,'new zealand',250000000,2014,65000,1.020433,'\'Block4of4\'','\'Block2of4\''
153,262030663,action|adventure|fantasy,'chris zylka',0,usa,230000000,2012,56000,1.139264,'\'Block3of4\'','\'Block3of4\''
156,105219735,action|adventure|drama|history,'scott grimes',0,usa,200000000,2010,17000,0.526099,'\'Block3of4\'','\'Block2of4\''
186,258355354,adventure|fantasy,'james nesbitt',6,usa,225000000,2013,83000,1.148246,'\'Block4of4\'','\'Block3of4\''
113,70083519,adventure|family|fantasy,'kristin scott thomas',2,usa,180000000,2007,0,0.389353,'\'Block2of4\'','\'Block1of4\''
201,218051260,action|adventure|drama|romance,'evan parke',0,'new zealand',207000000,2005,0,1.053388,'\'Block3of4\'','\'Block2of4\''
194,658672302,drama|romance,'gloria stuart',0,usa,200000000,1997,26000,3.293362,'\'Block4of4\'','\'Block4of4\''
147,407197282,action|adventure|sci-fi,'chris evans',0,usa,250000000,2016,72000,1.628789,'\'Block4of4\'','\'Block3of4\''
131,65173160,action|adventure|sci-fi|thriller,'tadanobu asano',0,usa,209000000,2012,44000,0.311833,'\'Block2of4\'','\'Block1of4\''
124,652177271,action|adventure|sci-fi|thriller,'omar sy',0,usa,150000000,2015,150000,4.347848,'\'Block3of4\'','\'Block4of4\''
143,304360277,action|adventure|thriller,'rory kinnear',0,uk,200000000,2012,80000,1.521801,'\'Block4of4\'','\'Block3of4\''
135,373377893,action|adventure|fantasy|romance,'kirsten dunst',1,usa,200000000,2004,0,1.866889,'\'Block4of4\'','\'Block3of4\''
195,408992272,action|adventure|sci-fi,'don cheadle',3,usa,200000000,2013,95000,2.044961,'\'Block3of4\'','\'Block3of4\''
108,334185206,adventure|family|fantasy,'anne hathaway',0,usa,200000000,2010,24000,1.670926,'\'Block2of4\'','\'Block3of4\''
104,234360014,action|adventure|fantasy|sci-fi|thriller,'daniel cudmore',0,canada,210000000,2006,0,1.116,'\'Block3of4\'','\'Block3of4\''
104,268488329,adventure|animation|comedy|family|fantasy,'sean hayes',0,usa,200000000,2013,44000,1.342442,'\'Block4of4\'','\'Block3of4\''
150,402076689,action|adventure|sci-fi,'ramon rodriguez',0,usa,200000000,2009,0,2.010383,'\'Block2of4\'','\'Block3of4\''
165,245428137,action|adventure|sci-fi,'kelsey grammer',2,usa,210000000,2014,56000,1.168705,'\'Block1of4\'','\'Block3of4\''
130,234903076,adventure|family|fantasy,'james franco',4,usa,215000000,2013,60000,1.092572,'\'Block2of4\'','\'Block3of4\''
142,202853933,action|adventure|fantasy|sci-fi,'b.j. novak',0,usa,200000000,2014,41000,1.01427,'\'Block3of4\'','\'Block2of4\''
125,172051787,action|adventure|sci-fi,'james frain',0,usa,170000000,2010,30000,1.012069,'\'Block3of4\'','\'Block2of4\''
106,191450875,adventure|animation|comedy|family|sport,'eddie izzard',0,usa,200000000,2011,10000,0.957254,'\'Block2of4\'','\'Block2of4\''
123,116593191,action|adventure|sci-fi,'taika waititi',2,usa,200000000,2011,24000,0.582966,'\'Block1of4\'','\'Block2of4\''
103,414984497,adventure|animation|comedy|family|fantasy,'don rickles',3,usa,200000000,2010,30000,2.074922,'\'Block4of4\'','\'Block3of4\''
118,125320003,action|adventure|sci-fi,common,0,usa,200000000,2009,0,0.6266,'\'Block3of4\'','\'Block2of4\''
140,350034110,action|crime|thriller,'vin diesel',0,usa,190000000,2015,94000,1.842285,'\'Block3of4\'','\'Block3of4\''
123,202351611,action|adventure|horror|sci-fi|thriller,'mireille enos',0,usa,190000000,2013,129000,1.065008,'\'Block3of4\'','\'Block2of4\''
149,233914986,action|adventure|fantasy|sci-fi|thriller,'hugh jackman',7,usa,200000000,2014,82000,1.169575,'\'Block4of4\'','\'Block3of4\''
132,228756232,action|adventure|sci-fi,'noel clarke',0,usa,190000000,2013,92000,1.20398,'\'Block4of4\'','\'Block3of4\''
114,65171860,adventure|fantasy,'ralph brown',1,usa,195000000,2013,22000,0.334215,'\'Block2of4\'','\'Block1of4\''
143,144812796,drama|romance,'steve bisley',4,australia,105000000,2013,115000,1.379169,'\'Block4of4\'','\'Block3of4\''
116,90755643,action|adventure|fantasy|romance,'reece ritchie',2,usa,200000000,2010,23000,0.453778,'\'Block3of4\'','\'Block2of4\''
131,101785482,action|adventure|sci-fi,'larry joe campbell',0,usa,190000000,2013,83000,0.535713,'\'Block3of4\'','\'Block2of4\''
154,352358779,action|adventure|sci-fi,'kevin dunn',2,usa,195000000,2011,46000,1.806968,'\'Block2of4\'','\'Block3of4\''
122,317011114,action|adventure|fantasy,'jim broadbent',2,usa,185000000,2008,5000,1.713574,'\'Block2of4\'','\'Block3of4\''
93,123070338,adventure|animation|comedy|family|fantasy,'peter sohn',0,usa,?,2015,20000,?,'\'Block3of4\'',?
93,237282182,adventure|animation|comedy|family|fantasy,'julie walters',0,usa,185000000,2012,39000,1.282606,'\'Block3of4\'','\'Block3of4\''
122,130468626,action|adventure|sci-fi|thriller,'lydia wilson',4,usa,185000000,2016,30000,0.705236,'\'Block4of4\'','\'Block2of4\''
98,223806889,adventure|animation|family|sci-fi,'jeff garlin',0,usa,180000000,2008,16000,1.243372,'\'Block4of4\'','\'Block3of4\''
91,140080850,action|comedy|crime|thriller,'noÂ©mie lenoir',2,usa,140000000,2007,0,1.000577,'\'Block2of4\'','\'Block2of4\''
158,166112167,action|adventure|sci-fi,'tom mccarthy',0,usa,200000000,2009,13000,0.830561,'\'Block1of4\'','\'Block2of4\''
96,137850096,animation|drama|family|fantasy,'gary oldman',0,usa,200000000,2009,0,0.68925,'\'Block3of4\'','\'Block2of4\''
127,47375327,action|adventure|sci-fi,'eddie redmayne',1,usa,176000000,2015,44000,0.269178,'\'Block1of4\'','\'Block1of4\''
110,124051759,action|adventure|drama|romance,'casper crump',2,usa,180000000,2016,29000,0.689176,'\'Block3of4\'','\'Block2of4\''
150,291709845,adventure|family|fantasy,'shane rangi',5,usa,180000000,2005,0,1.62061,'\'Block3of4\'','\'Block3of4\''
144,154985087,action|adventure|sci-fi,'tye sheridan',6,usa,178000000,2016,54000,0.870703,'\'Block4of4\'','\'Block2of4\''
152,533316061,action|crime|drama|thriller,'morgan freeman',0,usa,185000000,2008,37000,2.88279,'\'Block4of4\'','\'Block4of4\''
96,292979556,adventure|animation|comedy|family,'jess harnell',1,usa,175000000,2009,27000,1.674169,'\'Block4of4\'','\'Block3of4\''
94,198332128,action|adventure|animation|comedy|family|sci-fi,'stephen colbert',2,usa,175000000,2009,0,1.133326,'\'Block2of4\'','\'Block3of4\''
126,318298180,action|adventure|sci-fi,'jon favreau',3,usa,140000000,2008,10000,2.273558,'\'Block4of4\'','\'Block4of4\''
126,73820094,adventure|drama|family|mystery,'ray winstone',0,usa,170000000,2011,42000,0.434236,'\'Block4of4\'','\'Block1of4\''
106,113745408,action|comedy|sci-fi|western,'bai ling',2,usa,170000000,1999,0,0.669091,'\'Block1of4\'','\'Block2of4\''
112,102176165,action|adventure|fantasy|horror|thriller,'russell wong',2,usa,145000000,2008,0,0.704663,'\'Block1of4\'','\'Block2of4\''
123,161087183,action|adventure|comedy|sci-fi,'ike barinholtz',8,usa,175000000,2016,80000,0.920498,'\'Block3of4\'','\'Block2of4\''
96,100289690,comedy|family|fantasy,'steve carell',0,usa,175000000,2007,2000,0.573084,'\'Block1of4\'','\'Block2of4\''
113,100189501,action|adventure|sci-fi,'noah taylor',1,usa,178000000,2014,77000,0.562862,'\'Block4of4\'','\'Block2of4\''
176,88246220,action|adventure|sci-fi|thriller,'zakes mokae',0,usa,175000000,1995,0,0.504264,'\'Block2of4\'','\'Block2of4\''
118,150167630,action|adventure|sci-fi|thriller,'leo howard',4,usa,175000000,2009,0,0.858101,'\'Block1of4\'','\'Block2of4\''
95,356454367,adventure|animation|comedy|drama|family|fantasy,'phyllis smith',1,usa,175000000,2015,118000,2.036882,'\'Block4of4\'','\'Block3of4\''
106,362645141,adventure|drama|family|fantasy,'garry shandling',0,uk,175000000,2016,65000,2.072258,'\'Block4of4\'','\'Block3of4\''
124,312057433,action|adventure|sci-fi,'jon favreau',4,usa,200000000,2010,18000,1.560287,'\'Block3of4\'','\'Block3of4\''
132,155111815,action|adventure|drama|fantasy,'sam claflin',0,usa,170000000,2012,53000,0.912422,'\'Block2of4\'','\'Block2of4\''
97,241407328,action|adventure|family|fantasy|romance,'sam riley',2,usa,180000000,2014,89000,1.341152,'\'Block3of4\'','\'Block3of4\''
130,208543795,action|adventure|drama|sci-fi,'kodi smit-mcphee',0,usa,170000000,2014,45000,1.226728,'\'Block4of4\'','\'Block3of4\''
109,?,action|adventure|romance|sci-fi,'bipasha basu',3,belgium,?,2015,677,?,'\'Block1of4\'',?
128,38297305,action|adventure|drama|fantasy,'jin akanishi',2,usa,175000000,2013,35000,0.218842,'\'Block2of4\'','\'Block1of4\''
136,259746958,action|adventure|sci-fi,'hayley atwell',1,usa,170000000,2014,55000,1.527923,'\'Block4of4\'','\'Block3of4\''
93,238371987,adventure|animation|comedy|family|fantasy,'mary kay place',2,usa,165000000,2010,0,1.444679,'\'Block2of4\'','\'Block3of4\''
130,93417865,action|adventure|family|mystery|sci-fi,'thomas robinson',2,usa,190000000,2015,37000,0.491673,'\'Block2of4\'','\'Block2of4\''
102,222487711,action|adventure|animation|comedy|drama|family|sci-fi,'abraham benrubi',0,usa,165000000,2014,41000,1.34841,'\'Block4of4\'','\'Block3of4\''
101,189412677,adventure|animation|comedy|family|sci-fi,'joe lo truglio',1,usa,165000000,2012,40000,1.147956,'\'Block4of4\'','\'Block3of4\''
100,665426,adventure|animation|family|fantasy,'peter scolari',0,usa,165000000,2004,10000,0.004033,'\'Block3of4\'','\'Block1of4\''
120,102315545,action|adventure|sci-fi,'judd hirsch',0,usa,165000000,2016,67000,0.620094,'\'Block1of4\'','\'Block2of4\''
98,217387997,adventure|animation|family|fantasy,'craig ferguson',0,usa,165000000,2010,33000,1.317503,'\'Block4of4\'','\'Block3of4\''
109,150350192,action|sci-fi,'carolyn hennesy',0,usa,200000000,2003,0,0.751751,'\'Block2of4\'','\'Block2of4\''
121,333130696,action|adventure|sci-fi,'djimon hounsou',3,usa,170000000,2014,96000,1.959592,'\'Block4of4\'','\'Block3of4\''
169,187991439,adventure|drama|sci-fi,'mackenzie foy',1,usa,165000000,2014,349000,1.139342,'\'Block4of4\'','\'Block3of4\''
148,292568851,action|adventure|sci-fi|thriller,'joseph gordon-levitt',0,usa,160000000,2010,175000,1.828555,'\'Block4of4\'','\'Block3of4\''
120,?,action|adventure|drama|horror|sci-fi,'atsuko maeda',0,japan,?,2016,0,?,'\'Block4of4\'',?
182,303001229,adventure|fantasy,'james nesbitt',?,usa,180000000,2012,166000,1.68334,'\'Block4of4\'','\'Block3of4\''
106,144512310,action|crime|thriller,'jordana brewster',2,usa,38000000,2001,14000,3.802956,'\'Block3of4\'','\'Block4of4\''
166,127490802,drama|fantasy|romance,'julia ormond',2,usa,150000000,2008,23000,0.849939,'\'Block4of4\'','\'Block2of4\''
132,146405371,action|adventure|sci-fi,'oliver platt',3,usa,160000000,2011,54000,0.915034,'\'Block4of4\'','\'Block2of4\''
137,281666058,adventure|sci-fi,'josh hutcherson',1,usa,160000000,2015,38000,1.760413,'\'Block3of4\'','\'Block3of4\''
109,63143812,action|adventure|family|fantasy,'robert capron',0,usa,150000000,2010,11000,0.420959,'\'Block2of4\'','\'Block1of4\''
98,60655503,action|adventure|drama|thriller,'andre braugher',0,usa,160000000,2006,0,0.379097,'\'Block1of4\'','\'Block1of4\''
113,76846624,adventure|family|fantasy,'anne hathaway',1,usa,170000000,2016,30000,0.452039,'\'Block2of4\'','\'Block2of4\''
93,320706665,adventure|animation|comedy|family|fantasy,'rupert everett',2,usa,160000000,2007,0,2.004417,'\'Block2of4\'','\'Block3of4\''
123,46978995,action|adventure|fantasy,'ruth negga',0,usa,160000000,2016,89000,0.293619,'\'Block4of4\'','\'Block1of4\''
126,89732035,action|adventure|sci-fi,'matt smith',2,usa,155000000,2015,82000,0.578916,'\'Block3of4\'','\'Block2of4\''
113,104383624,adventure|family|fantasy,'laura brent',4,usa,155000000,2010,11000,0.673443,'\'Block2of4\'','\'Block2of4\''
184,198539855,action|drama|history|romance|war,mako,0,usa,140000000,2001,0,1.418142,'\'Block2of4\'','\'Block3of4\''
144,318759914,action|adventure|sci-fi,'kevin dunn',0,usa,150000000,2007,8000,2.125066,'\'Block3of4\'','\'Block3of4\''
206,34293771,action|adventure|biography|drama|history|romance|war,'brian blessed',3,germany,155000000,2004,0,0.22125,'\'Block1of4\'','\'Block1of4\''
138,292000866,adventure|family|fantasy|mystery,'fiona shaw',3,uk,150000000,2007,0,1.946672,'\'Block4of4\'','\'Block3of4\''
157,289994397,adventure|family|fantasy|mystery,'rupert grint',1,uk,150000000,2005,0,1.933296,'\'Block4of4\'','\'Block3of4\''
102,227946274,action|drama,'eddie marsan',0,usa,150000000,2008,0,1.519642,'\'Block2of4\'','\'Block3of4\''
104,256386216,drama|horror|sci-fi,'willow smith',0,usa,150000000,2007,11000,1.709241,'\'Block3of4\'','\'Block3of4\''
115,206456431,adventure|comedy|family|fantasy,'david kelly',3,usa,150000000,2005,0,1.376376,'\'Block3of4\'','\'Block3of4\''
111,206435493,animation|comedy|family|fantasy,'brian dennehy',0,usa,150000000,2007,10000,1.376237,'\'Block4of4\'','\'Block3of4\''
128,205343774,action|adventure,'morgan freeman',0,usa,150000000,2005,15000,1.368958,'\'Block4of4\'','\'Block3of4\''
89,179982968,action|adventure|animation|comedy|family,'cedric the entertainer',0,usa,150000000,2008,0,1.199886,'\'Block3of4\'','\'Block3of4\''
105,177243721,adventure|comedy|family|fantasy,'steve coogan',2,usa,150000000,2009,2000,1.181625,'\'Block2of4\'','\'Block3of4\''
119,179883016,action|adventure|fantasy|sci-fi|thriller,'dominic monaghan',0,usa,150000000,2009,0,1.19922,'\'Block3of4\'','\'Block3of4\''
129,139259759,action|sci-fi,'nona gaye',0,australia,150000000,2003,0,0.928398,'\'Block3of4\'','\'Block2of4\''
102,400736600,adventure|animation|comedy|family|fantasy|musical,'livvy stubenrauch',0,usa,150000000,2013,58000,2.671577,'\'Block4of4\'','\'Block4of4\''
138,281492479,action|sci-fi,'helmut bakaitis',0,usa,150000000,2003,0,1.876617,'\'Block3of4\'','\'Block3of4\''
112,206360018,action|adventure|fantasy,'anthony hopkins',3,usa,170000000,2013,63000,1.213882,'\'Block3of4\'','\'Block3of4\''
120,153629485,action|adventure|sci-fi|thriller,'zoÂ« kravitz',0,australia,150000000,2015,191000,1.024197,'\'Block4of4\'','\'Block2of4\''
146,133375846,mystery|thriller,'armin mueller-stahl',2,usa,150000000,2009,0,0.889172,'\'Block3of4\'','\'Block2of4\''
115,181015141,action|adventure|fantasy,'anthony hopkins',1,usa,150000000,2011,63000,1.206768,'\'Block3of4\'','\'Block3of4\''
96,114053579,adventure|animation|comedy|drama|family,'james lipton',0,usa,150000000,2008,0,0.760357,'\'Block3of4\'','\'Block2of4\''
88,119420252,action|adventure|animation|comedy|family|fantasy|sci-fi,'niecy nash',0,usa,150000000,2009,0,0.796135,'\'Block1of4\'','\'Block2of4\''
99,83640426,action|adventure|fantasy,'lily james',0,usa,150000000,2012,19000,0.557603,'\'Block1of4\'','\'Block2of4\''
113,79711678,comedy|fantasy|horror,'christopher lee',7,usa,100000000,2012,82000,0.797117,'\'Block2of4\'','\'Block2of4\''
131,195000874,action|adventure|thriller,'sean harris',0,china,150000000,2015,47000,1.300006,'\'Block4of4\'','\'Block3of4\''
119,61937495,drama|fantasy|horror|thriller,'art malik',0,usa,150000000,2010,0,0.412917,'\'Block1of4\'','\'Block1of4\''
110,124051759,action|adventure|drama|romance,'casper crump',2,usa,180000000,2016,29000,0.689176,'\'Block3of4\'','\'Block2of4\''
91,126597121,adventure|animation|comedy|family,'rip torn',0,usa,150000000,2007,0,0.843981,'\'Block2of4\'','\'Block2of4\''
90,165230261,action|adventure|animation|comedy|family,'mike bell',0,usa,150000000,2011,20000,1.101535,'\'Block4of4\'','\'Block3of4\''
103,131564731,action|adventure|family|fantasy,'aasif mandvi',0,usa,150000000,2010,18000,0.877098,'\'Block1of4\'','\'Block2of4\''
124,133382309,action|adventure|thriller,'eddie marsan',0,usa,150000000,2006,0,0.889215,'\'Block3of4\'','\'Block2of4\''
131,73103784,action|drama|thriller,'matt craven',2,usa,150000000,2013,33000,0.487359,'\'Block2of4\'','\'Block2of4\''
88,21379315,action|adventure|animation|comedy|family|sci-fi,'tom everett scott',0,usa,150000000,2011,0,0.142529,'\'Block1of4\'','\'Block1of4\''
85,64459316,adventure|animation|comedy|family,'david suchet',0,uk,149000000,2006,0,0.432613,'\'Block3of4\'','\'Block1of4\''
111,34964818,adventure|family|fantasy,'nonso anozie',4,usa,150000000,2015,24000,0.233099,'\'Block1of4\'','\'Block1of4\''
92,111505642,adventure|animation|comedy|family|sci-fi,'karan brar',2,usa,145000000,2014,11000,0.769004,'\'Block3of4\'','\'Block2of4\''
196,133228348,adventure,'julian glover',2,usa,175000000,2004,0,0.761305,'\'Block3of4\'','\'Block2of4\''
93,216366733,adventure|animation|comedy|family,'cedric the entertainer',0,usa,145000000,2012,17000,1.492184,'\'Block3of4\'','\'Block3of4\''
133,160201106,action|adventure|thriller,'rick yune',0,uk,142000000,2002,0,1.128177,'\'Block2of4\'','\'Block3of4\''
116,118099659,action|comedy|fantasy|sci-fi,'zach woods',4,usa,144000000,2016,62000,0.820137,'\'Block1of4\'','\'Block2of4\''
153,201573391,action|adventure|sci-fi|thriller,'will patton',0,usa,140000000,1998,11000,1.43981,'\'Block3of4\'','\'Block3of4\''
88,190418803,action|adventure|comedy|family|fantasy|mystery|sci-fi,'rip torn',2,usa,140000000,2002,2000,1.360134,'\'Block2of4\'','\'Block3of4\''
115,82161969,action|adventure|animation|fantasy,'sebastian rochÂ©',1,usa,150000000,2007,3000,0.547746,'\'Block2of4\'','\'Block2of4\''
95,143523463,action|adventure|animation|comedy|family,'wayne knight',0,usa,145000000,2016,24000,0.989817,'\'Block3of4\'','\'Block2of4\''
133,209364921,action|adventure|thriller,'michael nyqvist',3,usa,145000000,2011,35000,1.443896,'\'Block4of4\'','\'Block3of4\''
97,103400692,adventure|animation|family|fantasy,'khamani griffin',0,usa,145000000,2012,25000,0.713108,'\'Block4of4\'','\'Block2of4\''
90,110332737,comedy|crime,'david herman',1,usa,100000000,2005,2000,1.103327,'\'Block2of4\'','\'Block3of4\''
154,111110575,action|drama|history|war,'chad lindberg',1,usa,140000000,2003,0,0.793647,'\'Block4of4\'','\'Block2of4\''
150,65007045,action|adventure|drama,'ben mendelsohn',0,uk,140000000,2014,51000,0.464336,'\'Block2of4\'','\'Block2of4\''
127,257704099,action|adventure|sci-fi,'bruce greenwood',0,usa,150000000,2009,19000,1.718027,'\'Block4of4\'','\'Block3of4\''
121,403706375,action|adventure|fantasy|romance,'kirsten dunst',0,usa,139000000,2002,5000,2.904362,'\'Block4of4\'','\'Block4of4\''
102,176997107,action|adventure|animation|comedy|family|fantasy,'america ferrera',5,usa,145000000,2014,46000,1.22067,'\'Block4of4\'','\'Block3of4\''
126,31141074,action|adventure|fantasy,'bryan brown',4,usa,140000000,2016,24000,0.222436,'\'Block1of4\'','\'Block1of4\''
121,31704416,action|adventure|sci-fi|thriller,'richard roxburgh',0,usa,135000000,2005,0,0.234848,'\'Block1of4\'','\'Block1of4\''
215,107503316,action|drama|mystery|sci-fi,'stephen mchattie',1,usa,130000000,2009,18000,0.826949,'\'Block4of4\'','\'Block2of4\''
127,129734803,action|crime|thriller,'darlene love',2,usa,140000000,1998,0,0.926677,'\'Block3of4\'','\'Block2of4\''
138,132122995,action|sci-fi,'celia weston',0,usa,137000000,2003,0,0.964401,'\'Block1of4\'','\'Block2of4\''
122,122512052,action|adventure|sci-fi|thriller,'elodie yung',6,usa,130000000,2013,42000,0.9424,'\'Block1of4\'','\'Block2of4\''
124,68642452,action|adventure|comedy|thriller,'delroy lindo',3,uk,130000000,2005,0,0.528019,'\'Block2of4\'','\'Block2of4\''
106,32131830,action|adventure|animation|fantasy|romance|sci-fi,'jean simmons',1,usa,137000000,2001,0,0.234539,'\'Block2of4\'','\'Block1of4\''
124,176636816,action|adventure|sci-fi,'hayley atwell',0,usa,140000000,2011,46000,1.261692,'\'Block3of4\'','\'Block3of4\''
128,126930660,action|adventure|thriller,'desmond llewelyn',2,uk,135000000,1999,2000,0.940227,'\'Block2of4\'','\'Block2of4\''
138,93926386,action|adventure|drama|history|war,'david threlfall',1,usa,150000000,2003,0,0.626176,'\'Block4of4\'','\'Block2of4\''
115,292298923,adventure|drama|fantasy|romance,'taylor lautner',3,usa,120000000,2012,65000,2.435824,'\'Block1of4\'','\'Block4of4\''
100,63992328,animation|comedy|family|musical,common,0,australia,135000000,2011,0,0.474017,'\'Block2of4\'','\'Block2of4\''
135,134518390,action|adventure|sci-fi,'william hurt',0,usa,150000000,2008,0,0.896789,'\'Block3of4\'','\'Block2of4\''
60,?,action|crime|drama|mystery|thriller,'john diehl',2,usa,1500000,?,0,?,'\'Block4of4\'',?
117,52792307,adventure|family|fantasy,'rafe spall',0,uk,140000000,2016,27000,0.377088,'\'Block3of4\'','\'Block1of4\''
156,183635922,adventure|drama|thriller|western,'lukas haas',0,usa,135000000,2015,190000,1.360266,'\'Block4of4\'','\'Block3of4\''
96,83024900,adventure|animation|comedy|family|sport,'ben schwartz',0,usa,135000000,2013,13000,0.614999,'\'Block2of4\'','\'Block2of4\''
107,123207194,adventure|animation|comedy|family|western,'stephen root',0,usa,135000000,2011,26000,0.912646,'\'Block3of4\'','\'Block2of4\''
92,83348920,adventure|animation|comedy|family,'andy richter',0,usa,132000000,2014,11000,0.631431,'\'Block3of4\'','\'Block2of4\''
115,227137090,action|mystery|thriller,'albert finney',0,usa,110000000,2007,0,2.064883,'\'Block4of4\'','\'Block3of4\''
92,215395021,action|adventure|animation|comedy|family,'dan fogler',0,usa,130000000,2008,6000,1.656885,'\'Block4of4\'','\'Block3of4\''
117,180191634,action|adventure|comedy|sci-fi,t.i.,6,usa,130000000,2015,61000,1.386089,'\'Block4of4\'','\'Block3of4\''
146,424645577,adventure|sci-fi|thriller,'sandra ellis lafferty',1,usa,130000000,2013,82000,3.266504,'\'Block4of4\'','\'Block4of4\''
115,292298923,adventure|drama|fantasy|romance,'taylor lautner',3,usa,120000000,2012,65000,2.435824,'\'Block1of4\'','\'Block4of4\''
94,177343675,adventure|animation|comedy|family|fantasy|sci-fi,'april winchell',0,usa,135000000,2015,26000,1.313657,'\'Block3of4\'','\'Block3of4\''
116,234277056,adventure|sci-fi|thriller,'rick gonzalez',0,usa,132000000,2005,0,1.774826,'\'Block2of4\'','\'Block3of4\''
147,138396624,action|comedy|crime|thriller,'jordi moll',1,usa,130000000,2003,0,1.064589,'\'Block3of4\'','\'Block2of4\''
90,149234747,action|adventure|animation|comedy|family|fantasy,'amy sedaris',0,usa,130000000,2011,16000,1.14796,'\'Block3of4\'','\'Block3of4\''
101,118311368,action|crime|mystery|thriller,'august diehl',1,usa,110000000,2010,23000,1.075558,'\'Block2of4\'','\'Block3of4\''
138,101160529,action|adventure|drama,'logan lerman',2,usa,125000000,2014,71000,0.809284,'\'Block1of4\'','\'Block2of4\''
107,77564037,action|adventure|family|mystery,'tony curran',1,usa,135000000,2011,44000,0.574548,'\'Block4of4\'','\'Block2of4\''
142,249358727,adventure|family|fantasy|mystery,'rupert grint',3,uk,130000000,2004,11000,1.918144,'\'Block4of4\'','\'Block3of4\''
165,49551662,adventure|drama|romance|war,'eddie baroo',0,australia,130000000,2008,0,0.381167,'\'Block3of4\'','\'Block1of4\''
100,60522097,action|adventure|sci-fi,'glenn morshower',0,usa,130000000,2013,37000,0.465555,'\'Block1of4\'','\'Block2of4\''
82,137748063,adventure|animation|family|thriller,'della reese',1,usa,127500000,2000,0,1.080377,'\'Block2of4\'','\'Block3of4\''
?,?,action|fantasy,'ralph ineson',1,uk,?,2011,40,?,'\'Block4of4\'',?
98,113733726,adventure|comedy|family|fantasy,'steve coogan',7,usa,127000000,2014,11000,0.895541,'\'Block2of4\'','\'Block2of4\''
95,148337537,action|animation|comedy|family|sci-fi,'will ferrell',3,usa,130000000,2010,13000,1.141058,'\'Block4of4\'','\'Block3of4\''
159,317557891,adventure|family|fantasy,'verne troyer',4,uk,125000000,2001,16000,2.540463,'\'Block4of4\'','\'Block4of4\''
96,33592415,action|comedy|fantasy,'stephanie szostak',2,usa,130000000,2013,20000,0.258403,'\'Block1of4\'','\'Block1of4\''
120,?,action|adventure|drama|horror|sci-fi,'atsuko maeda',0,japan,?,2016,0,?,'\'Block4of4\'',?
143,305388685,action|adventure|fantasy,'jack davenport',3,usa,140000000,2003,10000,2.181348,'\'Block4of4\'','\'Block3of4\''
